semester_code,department,course_id,section,course_name,target_unit,grade_level,course_type,credits,cutoff_weight,year_roc,semester,year_ad,semester_ordinal,course_key,prev_1_weight,prev_2_weight,avg_weight_3sem,avg_weight_all,weight_volatility,semesters_offered,weight_trend,is_required,dept_cluster,popularity_tier,oversubscription_ratio,domain_category,prev_1_oversub_ratio,prev_2_oversub_ratio,avg_oversub_ratio_3sem,prev_1_remaining_spots,demand_trend,instructor_avg_cutoff,instructor_course_count,is_prime_time,num_time_slots
1101,一般通識組,00000818,,紅樓夢賞析,B00-一般通識組1,1,選修,2.0,73.0,110,1,2021,18,00000818||B00-一般通識組1,74.0,,74.0,74.0,,2,,0,通識,very_high,1.0,經典閱讀課程,1.0,,1.0,0.0,,33.22222222222222,6.0,0.0,2.0
1101,體育教學組,0099PE31,A,體育-法式滾球,B99-體育教學組1,1,必修,0.0,11.0,110,1,2021,18,0099PE31|A|B99-體育教學組1,0.0,,0.0,0.0,,2,,1,體育,medium,1.0208333333333333,體育,0.9791666666666666,,0.9791666666666666,1.0,,15.3125,9.0,0.0,2.0
1101,一般通識組,00000409,,全球環境危機與永續發展,B00-一般通識組1,1,選修,2.0,0.0,110,1,2021,18,00000409||B00-一般通識組1,,,,,,1,,0,通識,low,0.9333333333333332,科學與邏輯思維領域,,,,,,,,1.0,2.0
1101,醫務管理學系,00090078,,醫療保健政策分析,B082-醫管學系3,3,選修,2.0,9.0,110,1,2021,18,00090078||B082-醫管學系3,20.0,,20.0,20.0,,2,,0,管理,high,1.0333333333333334,N/A,1.0,,1.0,0.0,,20.5,2.0,1.0,2.0
1101,一般通識組,00000238,,歌劇賞析,B00-一般通識組1,1,選修,2.0,0.0,110,1,2021,18,00000238||B00-一般通識組1,0.0,5.0,3.3333333333333335,2.1666666666666665,2.3166067138525404,7,0.1,0,通識,low,0.9894736842105264,音樂與藝術領域,0.9789473684210528,,0.9789473684210528,2.0,,0.0,5.0,1.0,2.0
1101,一般通識組,00000750,D,人工智慧導論,B00-一般通識組1,1,必修,2.0,5.0,110,1,2021,18,00000750|D|B00-一般通識組1,,,,,,1,,1,通識,low,0.98,N/A,,,,,,,,0.0,2.0
1101,一般通識組,00000784,,偏鄉照護與方案設計,B00-一般通識組1,1,選修,2.0,12.0,110,1,2021,18,00000784||B00-一般通識組1,,,,,,1,,0,通識,medium,1.1,社會科學領域,,,,,,11.25,3.0,0.0,2.0
1101,一般通識組,00000732,,新南向國家文化與經貿概論,B00-一般通識組1,1,選修,2.0,18.0,110,1,2021,18,00000732||B00-一般通識組1,10.0,12.0,7.333333333333333,31.75,49.11466176204413,5,-27.3,0,通識,high,1.0,社會科學領域,0.9833333333333332,0.9833333333333332,0.9833333333333332,1.0,0.0,37.142857142857146,5.0,1.0,2.0
1101,一般通識組,00000750,E,人工智慧導論,B00-一般通識組1,1,必修,2.0,1.0,110,1,2021,18,00000750|E|B00-一般通識組1,,,,,,1,,1,通識,low,0.98,N/A,,,,,,,,0.0,2.0
1101,一般通識組,00000832,,法律中的因果與責任,B00-一般通識組1,1,選修,2.0,2.0,110,1,2021,18,00000832||B00-一般通識組1,,,,,,1,,0,通識,low,0.9,人文領域,,,,,,20.8,2.0,0.0,2.0
1101,一般通識組,00000750,F,人工智慧導論,B00-一般通識組1,1,必修,2.0,0.0,110,1,2021,18,00000750|F|B00-一般通識組1,,,,,,1,,1,通識,low,0.98,N/A,,,,,,,,0.0,2.0
1101,一般通識組,00000660,E,基礎程式設計,B00-一般通識組1,1,必修,2.0,0.0,110,1,2021,18,00000660|E|B00-一般通識組1,7.0,3.0,3.3333333333333335,3.3333333333333335,3.5118845842842465,4,3.4999999999999996,1,通識,medium,1.0,N/A,,,,,,,,1.0,2.0
1101,語言中心組,00970025,,旅遊英文,B97-語言中心組1,1,選修,2.0,9.0,110,1,2021,18,00970025||B97-語言中心組1,7.0,,7.0,7.0,,2,,0,其他,high,1.0,外語領域,1.0,,1.0,0.0,,12.666666666666666,2.0,0.0,2.0
1101,體育教學組,0099PE01,H,體育-羽球,B99-體育教學組1,1,必修,0.0,4.0,110,1,2021,18,0099PE01|H|B99-體育教學組1,2.0,7.0,4.333333333333333,3.6,2.6331223544175333,11,0.0,1,體育,medium,1.0,體育,1.0,,1.0,0.0,,8.733333333333333,9.0,1.0,2.0
1101,藥學系學士班共同整合課程,Z0300027,,生物醫材,Z03-藥學系學士共同3,3,選修,2.0,17.0,110,1,2021,18,Z0300027||Z03-藥學系學士共同3,,,,,,1,,0,藥學,high,1.0,N/A,,,,,,14.0,2.0,0.0,2.0
